round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output,,1
5579,0,49.73%,88.30%,0.0001,"[0.9998434782028198, 0.00015655410243198276]",0.0001,
5580,0,49.72%,88.28%,2.5686,"[0.08673395216464996, 0.9132660627365112]",2.5686,
5581,1,49.73%,88.28%,0.0776,"[0.07930556684732437, 0.9206944108009338]",0.0776,
5582,1,49.74%,88.29%,0.1467,"[0.30312401056289673, 0.6968759298324585]",0.1467,
5583,0,49.73%,88.29%,0.0036,"[0.8908212184906006, 0.10917874425649643]",0.0036,
5584,0,49.72%,88.29%,0.0002,"[0.9998432397842407, 0.00015679134230595082]",0.0002,
5585,0,49.71%,88.29%,0.0001,"[0.999915599822998, 8.437447104370221e-05]",0.0001,
5586,1,49.72%,88.29%,0.0411,"[0.04112838953733444, 0.9588716626167297]",0.0411,
5587,0,49.71%,88.30%,0.0001,"[0.9998958110809326, 0.00010422257037134841]",0.0001,
5588,1,49.72%,88.30%,0.0754,"[0.07254967838525772, 0.9274502992630005]",0.0754,
5589,0,49.71%,88.30%,0.0066,"[0.9904346466064453, 0.009565411135554314]",0.0066,
5590,0,49.70%,88.30%,0.0001,"[0.9999294281005859, 7.06030405126512e-05]",0.0001,
5591,1,49.71%,88.30%,0.0376,"[0.03730707988142967, 0.9626929759979248]",0.0376,
5592,0,49.70%,88.29%,2.2651,"[0.09879712760448456, 0.9012028574943542]",2.2651,
5593,0,49.70%,88.29%,0.0002,"[0.9997382760047913, 0.00026173601509071887]",0.0002,
5594,0,49.69%,88.29%,0.0325,"[0.9904356002807617, 0.009564398787915707]",0.0325,
5595,0,49.68%,88.30%,0.0001,"[0.9999281167984009, 7.192669727373868e-05]",0.0001,
5596,1,49.69%,88.30%,0.0776,"[0.07344116270542145, 0.9265588521957397]",0.0776,
5597,1,49.70%,88.30%,0.0394,"[0.038898441940546036, 0.9611015915870667]",0.0394,
5598,1,49.71%,88.30%,0.0533,"[0.05764954537153244, 0.9423505067825317]",0.0533,
5599,0,49.70%,88.30%,0.0002,"[0.9998732805252075, 0.0001267492480110377]",0.0002,
5600,1,49.71%,88.31%,1.589,"[0.28081226348876953, 0.7191877365112305]",1.589,
5601,0,49.70%,88.31%,0.0001,"[0.9999432563781738, 5.6764285545796156e-05]",0.0001,
5602,0,49.69%,88.31%,0.0001,"[0.9999464750289917, 5.34646023879759e-05]",0.0001,
5603,0,49.68%,88.31%,0.0001,"[0.9996540546417236, 0.0003459690196905285]",0.0001,
5604,1,49.69%,88.31%,0.0304,"[0.0322689451277256, 0.9677309989929199]",0.0304,
5605,0,49.68%,88.32%,0.0001,"[0.9999167919158936, 8.315697778016329e-05]",0.0001,
5606,1,49.69%,88.32%,0.0366,"[0.03586873784661293, 0.964131236076355]",0.0366,
5607,0,49.68%,88.32%,0.0001,"[0.9999165534973145, 8.347829134436324e-05]",0.0001,
5608,0,49.67%,88.32%,0.0012,"[0.999122679233551, 0.0008773098234087229]",0.0012,
5609,1,49.68%,88.32%,0.0347,"[0.04686024785041809, 0.9531397819519043]",0.0347,
5610,1,49.69%,88.33%,0.4903,"[0.2767580449581146, 0.7232419848442078]",0.4903,
5611,0,49.68%,88.31%,2.804,"[0.0636514350771904, 0.936348557472229]",2.804,
5612,0,49.67%,88.31%,0.0001,"[0.9999063014984131, 9.371550549985841e-05]",0.0001,
5613,0,49.66%,88.31%,0.0005,"[0.9998112320899963, 0.00018873391672968864]",0.0005,
5614,1,49.67%,88.32%,0.0756,"[0.06353683769702911, 0.9364631175994873]",0.0756,
5615,0,49.66%,88.32%,0.0002,"[0.9996694326400757, 0.00033057128894142807]",0.0002,
5616,1,49.67%,88.32%,0.1443,"[0.18637080490589142, 0.8136292099952698]",0.1443,
5617,0,49.66%,88.31%,2.5522,"[0.06007452681660652, 0.9399254322052002]",2.5522,
5618,1,49.67%,88.31%,0.0341,"[0.03353017196059227, 0.9664698243141174]",0.0341,
5619,0,49.66%,88.31%,0.0002,"[0.9998199343681335, 0.0001800338359316811]",0.0002,
5620,0,49.65%,88.31%,0.0008,"[0.9966398477554321, 0.0033601566683501005]",0.0008,
5621,0,49.64%,88.31%,0.0003,"[0.99978107213974, 0.0002189087390433997]",0.0003,
5622,1,49.65%,88.32%,0.0562,"[0.05931968614459038, 0.9406803250312805]",0.0562,
5623,1,49.66%,88.32%,0.0491,"[0.043342225253582, 0.9566578269004822]",0.0491,
5624,0,49.65%,88.32%,0.0026,"[0.9994800686836243, 0.000519963854458183]",0.0026,
5625,1,49.66%,88.32%,0.0361,"[0.043289367109537125, 0.9567106366157532]",0.0361,
5626,0,49.65%,88.31%,2.2032,"[0.1056305468082428, 0.8943694829940796]",2.2032,
5627,1,49.66%,88.31%,0.0762,"[0.06244327872991562, 0.9375567436218262]",0.0762,
5628,1,49.67%,88.31%,0.0838,"[0.0904562845826149, 0.9095436930656433]",0.0838,
5629,0,49.66%,88.31%,0.0003,"[0.9996216297149658, 0.00037835753755643964]",0.0003,
5630,0,49.65%,88.30%,2.2078,"[0.14334873855113983, 0.856651246547699]",2.2078,
5631,0,49.64%,88.30%,0.0015,"[0.9985944628715515, 0.001405577757395804]",0.0015,
5632,0,49.64%,88.28%,2.643,"[0.08429590612649918, 0.9157041311264038]",2.643,
5633,1,49.65%,88.29%,0.1623,"[0.18779152631759644, 0.8122084736824036]",0.1623,
5634,0,49.64%,88.29%,0.0002,"[0.9998202919960022, 0.00017972459318116307]",0.0002,
5635,0,49.63%,88.29%,0.0001,"[0.9998748302459717, 0.00012513033288996667]",0.0001,
5636,1,49.64%,88.29%,0.1119,"[0.10474804043769836, 0.895251989364624]",0.1119,
5637,0,49.63%,88.29%,0.0003,"[0.9997633099555969, 0.00023671379312872887]",0.0003,
5638,0,49.62%,88.30%,0.0001,"[0.9999309778213501, 6.897164712427184e-05]",0.0001,
5639,1,49.63%,88.30%,0.0693,"[0.0666433647274971, 0.9333566427230835]",0.0693,
5640,0,49.62%,88.30%,0.0031,"[0.9944362640380859, 0.005563739687204361]",0.0031,
5641,0,49.61%,88.30%,0.0007,"[0.9967648983001709, 0.003235145239159465]",0.0007,
5642,0,49.60%,88.30%,0.0005,"[0.9979865550994873, 0.0020134912338107824]",0.0005,
5643,1,49.61%,88.31%,0.1277,"[0.10630214959383011, 0.8936978578567505]",0.1277,
5644,0,49.60%,88.31%,0.0002,"[0.9998501539230347, 0.00014983669098000973]",0.0002,
5645,0,49.59%,88.31%,0.0001,"[0.9998823404312134, 0.00011764391820179299]",0.0001,
5646,1,49.60%,88.31%,0.1751,"[0.1924886256456375, 0.8075113296508789]",0.1751,
5647,1,49.61%,88.31%,0.1774,"[0.20318546891212463, 0.796814501285553]",0.1774,
5648,0,49.60%,88.32%,0.0002,"[0.9997676014900208, 0.0002323633525520563]",0.0002,
5649,0,49.59%,88.30%,1.5172,"[0.18695010244846344, 0.813049852848053]",1.5172,
5650,1,49.60%,88.30%,0.1272,"[0.12441183626651764, 0.8755881190299988]",0.1272,
5651,0,49.59%,88.31%,0.0006,"[0.9970002770423889, 0.0029996472876518965]",0.0006,
5652,0,49.58%,88.29%,2.4711,"[0.07038498669862747, 0.9296150207519531]",2.4711,
5653,1,49.59%,88.29%,0.0427,"[0.04208507761359215, 0.9579149484634399]",0.0427,
5654,1,49.60%,88.29%,0.0562,"[0.04417554289102554, 0.9558244943618774]",0.0562,
5655,1,49.61%,88.30%,0.0468,"[0.04459007829427719, 0.9554099440574646]",0.0468,
5656,1,49.62%,88.30%,0.069,"[0.06450048089027405, 0.9354994893074036]",0.069,
5657,1,49.63%,88.30%,0.084,"[0.11404534429311752, 0.8859546184539795]",0.084,
5658,0,49.62%,88.30%,1.0619,"[0.817417323589325, 0.18258266150951385]",1.0619,
5659,0,49.61%,88.30%,0.0001,"[0.9999111890792847, 8.877250365912914e-05]",0.0001,
5660,1,49.62%,88.31%,0.17,"[0.15132592618465424, 0.8486741185188293]",0.17,
5661,0,49.61%,88.31%,0.0001,"[0.9998800754547119, 0.0001199227845063433]",0.0001,
5662,0,49.60%,88.31%,0.0003,"[0.999695897102356, 0.00030407882877625525]",0.0003,
5663,1,49.61%,88.31%,0.1401,"[0.12285745143890381, 0.8771425485610962]",0.1401,
5664,1,49.62%,88.31%,0.0525,"[0.048996489495038986, 0.9510034918785095]",0.0525,
5665,0,49.61%,88.32%,0.0001,"[0.9998940229415894, 0.00010600367386359721]",0.0001,
5666,1,49.62%,88.32%,0.1014,"[0.08099540323019028, 0.9190046191215515]",0.1014,
5667,1,49.63%,88.32%,0.1477,"[0.06738752871751785, 0.9326125383377075]",0.1477,
5668,1,49.64%,88.32%,0.0529,"[0.07597151398658752, 0.9240285158157349]",0.0529,
5669,0,49.63%,88.32%,0.0022,"[0.998805046081543, 0.001194996410049498]",0.0022,
5670,0,49.62%,88.33%,0.0013,"[0.9925131797790527, 0.0074868397787213326]",0.0013,
5671,1,49.63%,88.33%,0.0538,"[0.06359687447547913, 0.9364030957221985]",0.0538,
5672,0,49.62%,88.31%,1.5656,"[0.11990922689437866, 0.8800907731056213]",1.5656,
5673,1,49.63%,88.32%,0.0729,"[0.06698432564735413, 0.9330157041549683]",0.0729,
5674,1,49.64%,88.32%,0.0449,"[0.04990701377391815, 0.9500929117202759]",0.0449,
5675,0,49.63%,88.32%,0.0002,"[0.9995077848434448, 0.000492260733153671]",0.0002,
5676,0,49.62%,88.30%,2.9938,"[0.05124915391206741, 0.9487507939338684]",2.9938,
5677,1,49.63%,88.31%,0.0866,"[0.08771822601556778, 0.9122818112373352]",0.0866,
5678,0,49.62%,88.29%,2.6795,"[0.045833952724933624, 0.954166054725647]",2.6795,
5679,1,49.63%,88.29%,0.0814,"[0.07018666714429855, 0.9298132658004761]",0.0814,
5680,1,49.64%,88.29%,0.0572,"[0.056099992245435715, 0.9438999891281128]",0.0572,
5681,0,49.63%,88.30%,0.1328,"[0.9784888029098511, 0.02151118777692318]",0.1328,
5682,0,49.62%,88.30%,0.0004,"[0.9985774755477905, 0.001422518864274025]",0.0004,
5683,1,49.63%,88.30%,0.0786,"[0.07992825657129288, 0.9200717806816101]",0.0786,
5684,1,49.64%,88.30%,0.1087,"[0.11192260682582855, 0.8880773186683655]",0.1087,
5685,1,49.65%,88.30%,0.1257,"[0.17847593128681183, 0.8215240240097046]",0.1257,
5686,1,49.66%,88.31%,0.0873,"[0.055256087332963943, 0.9447439312934875]",0.0873,
5687,1,49.67%,88.31%,0.0743,"[0.08701712638139725, 0.9129828810691833]",0.0743,
5688,1,49.67%,88.31%,0.1013,"[0.08502831310033798, 0.9149717092514038]",0.1013,
5689,1,49.68%,88.31%,0.0706,"[0.06847234815359116, 0.9315276741981506]",0.0706,
5690,0,49.67%,88.31%,0.002,"[0.9984190464019775, 0.001580915879458189]",0.002,
5691,1,49.68%,88.32%,0.0308,"[0.03237712010741234, 0.9676228761672974]",0.0308,
5692,1,49.69%,88.32%,0.0773,"[0.09683947265148163, 0.9031605124473572]",0.0773,
5693,1,49.70%,88.32%,0.0453,"[0.03185373917222023, 0.9681462645530701]",0.0453,
5694,1,49.71%,88.32%,0.0666,"[0.06749211251735687, 0.9325079321861267]",0.0666,
5695,1,49.72%,88.33%,0.0751,"[0.06462772190570831, 0.9353723526000977]",0.0751,
5696,0,49.71%,88.33%,0.0008,"[0.998948872089386, 0.0010511677246540785]",0.0008,
5697,1,49.72%,88.33%,0.0366,"[0.037689559161663055, 0.9623104333877563]",0.0366,
5698,0,49.71%,88.31%,2.7375,"[0.07608312368392944, 0.9239168763160706]",2.7375,
5699,1,49.72%,88.32%,0.0231,"[0.021888677030801773, 0.9781112670898438]",0.0231,
5700,0,49.71%,88.32%,0.0001,"[0.9998927116394043, 0.00010725030733738095]",0.0001,
5701,1,49.72%,88.32%,0.0378,"[0.03690054267644882, 0.963099479675293]",0.0378,
5702,1,49.73%,88.32%,0.0339,"[0.03072437457740307, 0.9692756533622742]",0.0339,
5703,0,49.72%,88.32%,0.0836,"[0.951093316078186, 0.04890663921833038]",0.0836,
5704,0,49.71%,88.33%,0.0076,"[0.9785491824150085, 0.02145080827176571]",0.0076,
5705,0,49.70%,88.33%,0.0005,"[0.999839186668396, 0.0001607572048669681]",0.0005,
5706,1,49.71%,88.33%,0.027,"[0.028648974373936653, 0.9713510274887085]",0.027,
5707,0,49.70%,88.33%,0.0008,"[0.9974449872970581, 0.002555018989369273]",0.0008,
5708,1,49.71%,88.33%,0.049,"[0.07091402262449265, 0.9290860295295715]",0.049,
5709,0,49.70%,88.34%,0.0009,"[0.9995501637458801, 0.0004498058988247067]",0.0009,
5710,0,49.69%,88.34%,0.0003,"[0.999797523021698, 0.00020245173072908074]",0.0003,
5711,0,49.68%,88.34%,0.0003,"[0.9997809529304504, 0.00021905970061197877]",0.0003,
5712,0,49.68%,88.32%,1.9984,"[0.26183927059173584, 0.7381607890129089]",1.9984,
5713,0,49.67%,88.31%,3.4897,"[0.0299336239695549, 0.9700663685798645]",3.4897,
5714,0,49.66%,88.31%,0.0095,"[0.9930887818336487, 0.006911197677254677]",0.0095,
5715,0,49.65%,88.31%,0.0001,"[0.9999229907989502, 7.700014248257503e-05]",0.0001,
5716,0,49.64%,88.32%,0.0003,"[0.9997238516807556, 0.0002760902279987931]",0.0003,
5717,0,49.63%,88.32%,0.0017,"[0.9992324113845825, 0.0007676079985685647]",0.0017,
5718,1,49.64%,88.32%,0.0277,"[0.028422662988305092, 0.9715772867202759]",0.0277,
5719,1,49.65%,88.32%,0.0482,"[0.0438612662255764, 0.9561387896537781]",0.0482,
5720,1,49.66%,88.32%,0.245,"[0.11333256214857101, 0.8866674304008484]",0.245,
5721,0,49.65%,88.33%,0.0003,"[0.9996232986450195, 0.0003767095331568271]",0.0003,
5722,1,49.66%,88.33%,0.0659,"[0.054236214607954025, 0.9457637667655945]",0.0659,
5723,1,49.67%,88.33%,0.1205,"[0.127804696559906, 0.872195303440094]",0.1205,
5724,0,49.66%,88.33%,0.0001,"[0.9999004602432251, 9.950992534868419e-05]",0.0001,
5725,0,49.65%,88.32%,2.6823,"[0.07911722362041473, 0.9208828210830688]",2.6823,
5726,1,49.66%,88.32%,0.0482,"[0.04240984842181206, 0.9575901031494141]",0.0482,
5727,1,49.67%,88.32%,0.0747,"[0.07075780630111694, 0.9292422533035278]",0.0747,
5728,1,49.68%,88.32%,0.0298,"[0.030048783868551254, 0.9699512720108032]",0.0298,
5729,0,49.67%,88.32%,0.0001,"[0.9995241165161133, 0.00047590400208719075]",0.0001,
5730,1,49.68%,88.33%,0.056,"[0.05200425907969475, 0.9479957818984985]",0.056,
5731,1,49.69%,88.33%,0.0644,"[0.05936983972787857, 0.9406301975250244]",0.0644,
5732,1,49.69%,88.33%,0.0473,"[0.043943747878074646, 0.9560562968254089]",0.0473,
5733,1,49.70%,88.33%,0.06,"[0.05443379282951355, 0.9455662369728088]",0.06,
5734,0,49.69%,88.33%,0.0002,"[0.9998612403869629, 0.00013877646415494382]",0.0002,
5735,1,49.70%,88.34%,0.0567,"[0.05663687363266945, 0.9433631896972656]",0.0567,
5736,0,49.69%,88.32%,3.2244,"[0.03940889611840248, 0.9605911374092102]",3.2244,
5737,0,49.69%,88.32%,0.0002,"[0.9998701810836792, 0.00012982876796741039]",0.0002,
5738,1,49.70%,88.33%,0.1147,"[0.061607036739587784, 0.9383929371833801]",0.1147,
5739,1,49.70%,88.33%,0.2447,"[0.16260552406311035, 0.8373945355415344]",0.2447,
5740,0,49.70%,88.33%,0.0003,"[0.9997366070747375, 0.00026342461933381855]",0.0003,
5741,1,49.70%,88.33%,0.0379,"[0.03456582501530647, 0.9654341340065002]",0.0379,
5742,0,49.70%,88.32%,3.0178,"[0.04763355478644371, 0.9523664116859436]",3.0178,
5743,1,49.70%,88.32%,0.0408,"[0.042782679200172424, 0.957217276096344]",0.0408,
5744,1,49.71%,88.32%,0.036,"[0.03227950632572174, 0.9677205085754395]",0.036,
5745,0,49.70%,88.32%,0.0001,"[0.9998804330825806, 0.00011951261694775894]",0.0001,
5746,0,49.70%,88.32%,0.0003,"[0.999568521976471, 0.00043141283094882965]",0.0003,
5747,1,49.70%,88.33%,0.0388,"[0.046142514795064926, 0.9538574814796448]",0.0388,
5748,0,49.70%,88.33%,0.1171,"[0.930080771446228, 0.06991919875144958]",0.1171,
5749,1,49.70%,88.33%,0.0475,"[0.05261215940117836, 0.9473878741264343]",0.0475,
5750,1,49.71%,88.33%,0.0364,"[0.03732848912477493, 0.9626715183258057]",0.0364,
5751,1,49.72%,88.33%,0.066,"[0.053430695086717606, 0.9465693235397339]",0.066,
5752,0,49.71%,88.34%,0.0055,"[0.9991862177848816, 0.0008137235417962074]",0.0055,
5753,1,49.72%,88.34%,0.0556,"[0.05548249930143356, 0.9445175528526306]",0.0556,
5754,1,49.73%,88.34%,0.0386,"[0.03714772313833237, 0.9628522992134094]",0.0386,
5755,1,49.74%,88.34%,0.0264,"[0.026222217828035355, 0.9737778306007385]",0.0264,
5756,1,49.75%,88.34%,0.035,"[0.03419521450996399, 0.9658048152923584]",0.035,
5757,1,49.76%,88.35%,0.0249,"[0.020750537514686584, 0.9792494177818298]",0.0249,
5758,1,49.77%,88.35%,0.0257,"[0.023073159158229828, 0.976926863193512]",0.0257,
5759,1,49.77%,88.35%,0.0235,"[0.02372763864696026, 0.9762724041938782]",0.0235,
5760,0,49.77%,88.35%,0.0032,"[0.9968233108520508, 0.0031766605097800493]",0.0032,
5761,1,49.77%,88.35%,0.0395,"[0.03753889724612236, 0.9624611139297485]",0.0395,
5762,1,49.78%,88.36%,0.0226,"[0.02189238928258419, 0.9781076312065125]",0.0226,
5763,0,49.77%,88.36%,0.002,"[0.9972802400588989, 0.00271968892775476]",0.002,
5764,0,49.77%,88.36%,0.0007,"[0.9990593791007996, 0.0009406462777405977]",0.0007,
5765,0,49.76%,88.36%,0.4416,"[0.5895630717277527, 0.41043686866760254]",0.4416,
5766,0,49.75%,88.35%,1.7691,"[0.09830547124147415, 0.9016944766044617]",1.7691,
5767,0,49.74%,88.35%,0.0211,"[0.9856056571006775, 0.014394372701644897]",0.0211,
5768,0,49.73%,88.35%,0.0017,"[0.9974285960197449, 0.002571446355432272]",0.0017,
5769,0,49.72%,88.34%,2.5427,"[0.09056176990270615, 0.9094381928443909]",2.5427,
5770,0,49.71%,88.34%,0.0001,"[0.9999403953552246, 5.959277041256428e-05]",0.0001,
5771,0,49.71%,88.34%,0.0006,"[0.9997432827949524, 0.0002567424380686134]",0.0006,
5772,1,49.71%,88.34%,0.0287,"[0.02570776268839836, 0.9742921590805054]",0.0287,
5773,1,49.72%,88.34%,0.0315,"[0.027145780622959137, 0.9728542566299438]",0.0315,
5774,0,49.71%,88.35%,0.3684,"[0.9928088188171387, 0.007191231474280357]",0.3684,
5775,1,49.72%,88.33%,0.595,"[0.5533778071403503, 0.4466221332550049]",0.595,
5776,1,49.73%,88.33%,0.054,"[0.049497343599796295, 0.9505026340484619]",0.054,
5777,1,49.74%,88.34%,0.034,"[0.03317730501294136, 0.9668226838111877]",0.034,
5778,0,49.73%,88.34%,0.0001,"[0.999940037727356, 5.991728539811447e-05]",0.0001,
5779,0,49.72%,88.34%,0.7426,"[0.6742079854011536, 0.3257920444011688]",0.7426,
5780,1,49.73%,88.34%,0.1833,"[0.14661484956741333, 0.8533851504325867]",0.1833,
5781,1,49.74%,88.34%,0.1674,"[0.1771601289510727, 0.8228398561477661]",0.1674,
5782,0,49.73%,88.35%,0,"[0.9999654293060303, 3.459665458649397e-05]",0,
5783,1,49.74%,88.35%,0.1151,"[0.14837071299552917, 0.8516292572021484]",0.1151,
5784,1,49.75%,88.35%,0.0647,"[0.062061406672000885, 0.9379386305809021]",0.0647,
5785,0,49.74%,88.35%,0.0001,"[0.9999469518661499, 5.3071889851707965e-05]",0.0001,
5786,1,49.75%,88.35%,0.032,"[0.028398334980010986, 0.9716017246246338]",0.032,
5787,0,49.74%,88.36%,0.0107,"[0.9651833176612854, 0.03481665253639221]",0.0107,
5788,0,49.73%,88.36%,0.0001,"[0.999933123588562, 6.68192224111408e-05]",0.0001,
5789,1,49.74%,88.36%,0.0721,"[0.08299990743398666, 0.9170001149177551]",0.0721,
5790,1,49.75%,88.36%,0.3817,"[0.17475421726703644, 0.82524573802948]",0.3817,
5791,0,49.74%,88.36%,0.0001,"[0.9999374151229858, 6.252448656596243e-05]",0.0001,
5792,1,49.75%,88.37%,0.0368,"[0.05323512852191925, 0.9467649459838867]",0.0368,
5793,1,49.76%,88.37%,0.1007,"[0.11672329902648926, 0.8832767009735107]",0.1007,
5794,0,49.75%,88.35%,3.6798,"[0.034204740077257156, 0.9657952785491943]",3.6798,
5795,1,49.76%,88.35%,0.0212,"[0.021403249353170395, 0.9785968065261841]",0.0212,
5796,0,49.75%,88.36%,0.0001,"[0.9999133348464966, 8.66451082401909e-05]",0.0001,
5797,0,49.74%,88.34%,2.0659,"[0.034355416893959045, 0.9656446576118469]",2.0659,
5798,1,49.75%,88.34%,0.0248,"[0.02374422550201416, 0.9762558341026306]",0.0248,
5799,0,49.74%,88.34%,0.2301,"[0.9358622431755066, 0.06413771957159042]",0.2301,
5800,0,49.73%,88.35%,0.0001,"[0.9999532699584961, 4.6717101213289425e-05]",0.0001,
5801,0,49.72%,88.35%,0.0001,"[0.9998917579650879, 0.00010827430378412828]",0.0001,
5802,1,49.73%,88.35%,0.0248,"[0.024140948429703712, 0.9758589863777161]",0.0248,
5803,0,49.72%,88.35%,0.0497,"[0.6685858964920044, 0.3314140737056732]",0.0497,
5804,1,49.73%,88.35%,0.3121,"[0.14665153622627258, 0.853348433971405]",0.3121,
5805,1,49.74%,88.36%,0.0866,"[0.06606192141771317, 0.9339381456375122]",0.0866,
5806,1,49.75%,88.36%,0.0524,"[0.04376845806837082, 0.9562315344810486]",0.0524,
5807,1,49.76%,88.36%,0.0335,"[0.0267160777002573, 0.9732839465141296]",0.0335,
5808,0,49.75%,88.36%,0.0003,"[0.9995768666267395, 0.000423161662183702]",0.0003,
5809,0,49.74%,88.35%,3.1938,"[0.04946163296699524, 0.9505383968353271]",3.1938,
5810,0,49.73%,88.35%,0.0003,"[0.9997960925102234, 0.00020394085731822997]",0.0003,
5811,1,49.74%,88.35%,0.0244,"[0.027892330661416054, 0.9721077084541321]",0.0244,
5812,0,49.73%,88.35%,0,"[0.999962568283081, 3.747160008060746e-05]",0,
5813,1,49.74%,88.36%,0.0244,"[0.02345794066786766, 0.9765421152114868]",0.0244,
5814,0,49.73%,88.36%,0.0001,"[0.9999487400054932, 5.1233851991128176e-05]",0.0001,
5815,0,49.72%,88.34%,2.7886,"[0.056798212230205536, 0.9432017207145691]",2.7886,
5816,1,49.73%,88.34%,0.0743,"[0.05911337584257126, 0.9408866167068481]",0.0743,
5817,0,49.72%,88.35%,0,"[0.9999605417251587, 3.9489634218625724e-05]",0,
5818,1,49.73%,88.35%,0.0629,"[0.06807000935077667, 0.9319299459457397]",0.0629,
5819,1,49.74%,88.35%,0.0286,"[0.027760561555624008, 0.9722394347190857]",0.0286,
5820,1,49.75%,88.35%,0.0284,"[0.02765997126698494, 0.9723400473594666]",0.0284,
5821,1,49.76%,88.35%,0.1684,"[0.1616484522819519, 0.8383516073226929]",0.1684,
5822,0,49.75%,88.36%,0,"[0.9999516010284424, 4.8451198381371796e-05]",0,
5823,0,49.74%,88.36%,0.1012,"[0.9388506412506104, 0.06114937365055084]",0.1012,
5824,1,49.75%,88.36%,0.0272,"[0.026912426576018333, 0.97308748960495]",0.0272,
5825,1,49.76%,88.36%,0.059,"[0.04827740788459778, 0.9517226219177246]",0.059,
5826,0,49.75%,88.35%,0.0449,"[0.14590996503829956, 0.8540899753570557]",0.0449,
5827,0,49.74%,88.35%,0,"[0.9999253749847412, 7.464508234988898e-05]",0,
5828,0,49.73%,88.35%,0,"[0.9999375343322754, 6.251280865399167e-05]",0,
5829,0,49.73%,88.35%,0.0001,"[0.9999368190765381, 6.315971404546872e-05]",0.0001,
5830,0,49.72%,88.36%,0,"[0.9999651908874512, 3.484834815026261e-05]",0,
5831,1,49.73%,88.36%,0.0499,"[0.042981334030628204, 0.9570186138153076]",0.0499,
5832,0,49.72%,88.36%,0.0001,"[0.9999387264251709, 6.131546979304403e-05]",0.0001,
5833,1,49.73%,88.36%,0.037,"[0.03459186106920242, 0.9654081463813782]",0.037,
5834,0,49.72%,88.36%,0.0001,"[0.9999308586120605, 6.910383672220632e-05]",0.0001,
5835,0,49.71%,88.37%,0,"[0.9999567270278931, 4.3213327444391325e-05]",0,
5836,1,49.72%,88.37%,0.0388,"[0.03933039307594299, 0.9606695771217346]",0.0388,
5837,1,49.73%,88.37%,0.0733,"[0.11288758367300034, 0.8871124386787415]",0.0733,
5838,0,49.72%,88.37%,0,"[0.9999266862869263, 7.334207475651056e-05]",0,
5839,0,49.71%,88.36%,3.3874,"[0.03723664954304695, 0.9627633094787598]",3.3874,
5840,0,49.70%,88.36%,0.0131,"[0.9980418682098389, 0.001958048902451992]",0.0131,
5841,0,49.69%,88.36%,0,"[0.9999650716781616, 3.48677858710289e-05]",0,
5842,1,49.70%,88.36%,0.0312,"[0.030537690967321396, 0.9694622755050659]",0.0312,
5843,1,49.71%,88.36%,0.5519,"[0.07469962537288666, 0.9253003001213074]",0.5519,
5844,0,49.70%,88.37%,0.0001,"[0.9999191761016846, 8.077761594904587e-05]",0.0001,
5845,0,49.69%,88.37%,0.0002,"[0.9999191761016846, 8.080881525529549e-05]",0.0002,
5846,1,49.70%,88.37%,0.0582,"[0.06272290647029877, 0.9372770190238953]",0.0582,
5847,1,49.71%,88.37%,0.0777,"[0.0821244865655899, 0.9178754687309265]",0.0777,
5848,0,49.70%,88.37%,0,"[0.999966025352478, 3.402952279429883e-05]",0,
5849,1,49.71%,88.38%,0.0502,"[0.047726184129714966, 0.9522738456726074]",0.0502,
5850,1,49.72%,88.38%,0.0333,"[0.03231833130121231, 0.9676817059516907]",0.0333,
5851,1,49.73%,88.38%,0.0568,"[0.0547579824924469, 0.9452420473098755]",0.0568,
5852,1,49.74%,88.38%,0.019,"[0.018987711519002914, 0.9810123443603516]",0.019,
5853,0,49.73%,88.38%,0,"[0.9999599456787109, 4.0015424019657075e-05]",0,
5854,1,49.74%,88.39%,0.0502,"[0.04277646169066429, 0.9572234749794006]",0.0502,
5855,0,49.73%,88.39%,0.7135,"[0.9612613916397095, 0.03873860090970993]",0.7135,
5856,0,49.72%,88.37%,2.7458,"[0.05852320417761803, 0.9414767622947693]",2.7458,
5857,0,49.71%,88.36%,3.1199,"[0.03745846077799797, 0.9625415205955505]",3.1199,
5858,1,49.72%,88.36%,0.0485,"[0.039202731102705, 0.9607973098754883]",0.0485,
5859,0,49.71%,88.36%,0,"[0.9999691247940063, 3.0824117857264355e-05]",0,
5860,1,49.72%,88.36%,0.1594,"[0.0971246138215065, 0.9028753638267517]",0.1594,
5861,1,49.73%,88.37%,0.0406,"[0.03944795951247215, 0.9605520963668823]",0.0406,
5862,1,49.74%,88.37%,0.0837,"[0.06441956013441086, 0.9355804324150085]",0.0837,
5863,0,49.73%,88.37%,0,"[0.9999679327011108, 3.204194945283234e-05]",0,
5864,1,49.74%,88.37%,0.0294,"[0.02957107499241829, 0.9704289436340332]",0.0294,
5865,0,49.73%,88.36%,3.1976,"[0.046697359532117844, 0.9533026814460754]",3.1976,
5866,1,49.74%,88.36%,0.0675,"[0.05185260623693466, 0.9481474161148071]",0.0675,
5867,0,49.73%,88.36%,0.0015,"[0.9982434511184692, 0.0017565833404660225]",0.0015,
5868,1,49.74%,88.36%,0.0305,"[0.03286661207675934, 0.9671333432197571]",0.0305,
5869,0,49.73%,88.36%,0.0001,"[0.9999315738677979, 6.846536416560411e-05]",0.0001,
